Date,Cash,Stock Value,Option Value,Short Value,Account Value
6/25/2025,"-$154,987.87","$349,902.23",$0.00,$0.00,"$194,914.36"
6/24/2025,"-$154,987.87","$346,260.25",$0.00,$0.00,"$191,272.38"
6/21/2025,"-$154,987.87","$341,049.78",$0.00,$0.00,"$186,061.91"
6/20/2025,"-$154,987.87","$344,393.56",$0.00,$0.00,"$189,405.69"
6/19/2025,"-$154,987.87","$344,393.56",$0.00,$0.00,"$189,405.69"
6/18/2025,"-$154,987.87","$343,803.34",$0.00,$0.00,"$188,815.47"
6/17/2025,"-$154,987.87","$348,151.66",$0.00,$0.00,"$193,163.79"
6/14/2025,"-$155,060.53","$342,710.82",$0.00,$0.00,"$187,650.29"
6/13/2025,"-$155,060.53","$346,475.08",$0.00,$0.00,"$191,414.55"
6/12/2025,"-$155,060.53","$348,254.71",$0.00,$0.00,"$193,194.18"
6/11/2025,"-$155,060.53","$350,916.84",$0.00,$0.00,"$195,856.31"
6/10/2025,"-$155,060.53","$342,752.75",$0.00,$0.00,"$187,692.22"
6/07/2025,"-$126,560.83","$310,157.54",$0.00,$0.00,"$183,596.71"
6/06/2025,"-$126,560.83","$304,650.45",$0.00,$0.00,"$178,089.62"
6/05/2025,"-$126,560.83","$314,025.11",$0.00,$0.00,"$187,464.28"
6/04/2025,"-$126,588.50","$313,901.71",$0.00,$0.00,"$187,313.21"
6/03/2025,"-$126,588.50","$311,671.30",$0.00,$0.00,"$185,082.80"
5/31/2025,"-$126,588.50","$311,049.70",$0.00,$0.00,"$184,461.20"
5/30/2025,"-$126,588.50","$316,441.16",$0.00,$0.00,"$189,852.65"
5/29/2025,"-$126,588.50","$314,417.80",$0.00,$0.00,"$187,829.30"
5/28/2025,"-$126,588.50","$317,499.85",$0.00,$0.00,"$190,911.35"
5/27/2025,"-$126,588.50","$308,542.54",$0.00,$0.00,"$181,954.03"
5/24/2025,"-$126,588.50","$308,542.54",$0.00,$0.00,"$181,954.03"
5/23/2025,"-$126,588.50","$311,160.33",$0.00,$0.00,"$184,571.82"
5/22/2025,"-$126,588.50","$309,603.27",$0.00,$0.00,"$183,014.76"
5/21/2025,"-$126,588.50","$313,147.22",$0.00,$0.00,"$186,558.72"
5/20/2025,"-$126,588.50","$314,245.62",$0.00,$0.00,"$187,657.11"
5/17/2025,"-$126,588.50","$316,403.08",$0.00,$0.00,"$189,814.58"
5/16/2025,"-$126,588.50","$313,697.50",$0.00,$0.00,"$187,109.00"
5/15/2025,"-$126,588.50","$317,059.35",$0.00,$0.00,"$190,470.85"
5/14/2025,"-$126,588.50","$311,210.51",$0.00,$0.00,"$184,622.01"
5/13/2025,"-$126,588.50","$304,140.59",$0.00,$0.00,"$177,552.09"
5/10/2025,"-$126,588.50","$290,809.33",$0.00,$0.00,"$164,220.83"
5/09/2025,"-$126,588.50","$288,921.72",$0.00,$0.00,"$162,333.22"
5/08/2025,"-$126,588.50","$284,131.85",$0.00,$0.00,"$157,543.34"
5/07/2025,"-$126,588.50","$287,277.46",$0.00,$0.00,"$160,688.95"
5/06/2025,"-$126,588.50","$289,418.43",$0.00,$0.00,"$162,829.93"
5/03/2025,"-$126,636.81","$291,818.18",$0.00,$0.00,"$165,181.37"
5/02/2025,"-$126,636.81","$285,037.49",$0.00,$0.00,"$158,400.68"
5/01/2025,"-$126,636.81","$282,762.66",$0.00,$0.00,"$156,125.84"
4/30/2025,"-$126,636.81","$286,077.95",$0.00,$0.00,"$159,441.14"
4/29/2025,"-$126,636.81","$284,623.14",$0.00,$0.00,"$157,986.33"
4/26/2025,"-$126,636.81","$285,811.40",$0.00,$0.00,"$159,174.58"
4/25/2025,"-$126,636.81","$279,674.31",$0.00,$0.00,"$153,037.50"
4/24/2025,"-$126,636.81","$273,421.67",$0.00,$0.00,"$146,784.86"
4/23/2025,"-$126,636.81","$265,616.51",$0.00,$0.00,"$138,979.69"
4/22/2025,"-$126,640.91","$257,872.54",$0.00,$0.00,"$131,231.63"
4/19/2025,"-$126,640.91","$264,515.32",$0.00,$0.00,"$137,874.41"
4/18/2025,"-$126,640.91","$264,515.32",$0.00,$0.00,"$137,874.41"
4/17/2025,"-$126,640.91","$265,214.21",$0.00,$0.00,"$138,573.30"
4/16/2025,"-$126,640.91","$274,502.68",$0.00,$0.00,"$147,861.76"
4/15/2025,"-$126,640.91","$275,389.26",$0.00,$0.00,"$148,748.35"
4/12/2025,"-$106,685.21","$252,601.21",$0.00,$0.00,"$145,916.00"
4/11/2025,"-$106,685.21","$248,250.35",$0.00,$0.00,"$141,565.13"
4/10/2025,"-$106,685.21","$261,407.09",$0.00,$0.00,"$154,721.87"
4/09/2025,"-$106,685.21","$229,861.57",$0.00,$0.00,"$123,176.36"
4/08/2025,"-$106,685.21","$237,095.96",$0.00,$0.00,"$130,410.74"
4/05/2025,"-$106,685.21","$239,462.60",$0.00,$0.00,"$132,777.39"
4/04/2025,"-$106,685.21","$257,301.53",$0.00,$0.00,"$150,616.32"
4/03/2025,"-$106,716.11","$269,842.02",$0.00,$0.00,"$163,125.91"
4/02/2025,"-$106,716.11","$267,595.88",$0.00,$0.00,"$160,879.77"
4/01/2025,"-$106,720.70","$264,473.56",$0.00,$0.00,"$157,752.85"
3/29/2025,"-$106,859.70","$265,517.35",$0.00,$0.00,"$158,657.65"
3/28/2025,"-$106,859.70","$274,248.27",$0.00,$0.00,"$167,388.56"
3/27/2025,"-$106,859.70","$275,365.85",$0.00,$0.00,"$168,506.15"
3/26/2025,"-$106,859.70","$284,704.56",$0.00,$0.00,"$177,844.86"
3/25/2025,"-$106,859.70","$282,830.23",$0.00,$0.00,"$175,970.53"
3/22/2025,"-$106,859.70","$274,271.61",$0.00,$0.00,"$167,411.91"
3/21/2025,"-$106,859.70","$273,112.94",$0.00,$0.00,"$166,253.24"
3/20/2025,"-$106,859.70","$275,032.48",$0.00,$0.00,"$168,172.78"
3/19/2025,"-$106,859.70","$272,355.78",$0.00,$0.00,"$165,496.08"
3/18/2025,"-$106,859.70","$279,340.49",$0.00,$0.00,"$172,480.78"
3/15/2025,"-$106,859.70","$278,232.69",$0.00,$0.00,"$171,372.98"
3/14/2025,"-$106,859.70","$271,287.75",$0.00,$0.00,"$164,428.05"
3/13/2025,"-$106,859.70","$272,195.43",$0.00,$0.00,"$165,335.73"
3/12/2025,"-$128,261.90","$285,659.27",$0.00,$0.00,"$157,397.36"
3/11/2025,"-$128,261.90","$282,683.83",$0.00,$0.00,"$154,421.92"
3/08/2025,"-$128,312.00","$296,698.07",$0.00,$0.00,"$168,386.07"
3/07/2025,"-$128,312.00","$295,642.51",$0.00,$0.00,"$167,330.51"
3/06/2025,"-$128,312.00","$304,338.84",$0.00,$0.00,"$176,026.84"
3/05/2025,"-$128,343.86","$298,969.85",$0.00,$0.00,"$170,625.99"
3/04/2025,"-$128,343.86","$304,496.59",$0.00,$0.00,"$176,152.73"
3/01/2025,"-$128,343.86","$314,094.71",$0.00,$0.00,"$185,750.85"
2/28/2025,"-$128,343.86","$308,597.64",$0.00,$0.00,"$180,253.77"
